EBI Microbiome	ONN Microbiome
Abyssal_plane	root-Environmental-Aquatic-Marine-Oceanic-Abyssal_plane
Activated_Sludge	root-Engineered-Wastewater-Activated_Sludge
Agricultural	root-Environmental-Terrestrial-Soil-Agricultural
Agricultural	root-Environmental-Terrestrial-Soil-Loam-Agricultural
Agricultural_land	root-Environmental-Terrestrial-Soil-Crop-Agricultural_land
Agricultural_wastewater	root-Engineered-Wastewater-Industrial_wastewater-Agricultural_wastewater
Alkaline	root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline-Alkaline
Aphotic_zone	root-Environmental-Aquatic-Marine-Oceanic-Aphotic_zone
Aquatic	root-Environmental-Aquatic
Benthic	root-Environmental-Aquatic-Marine-Oceanic-Benthic
Biofilm	root-Environmental-Aquatic-Freshwater-Groundwater-Biofilm
Black_smokers	root-Environmental-Aquatic-Marine-Hydrothermal_vents-Black_smokers
Blood	root-Host_associated-Human-Circulatory_system-Blood
Boreal_forest	root-Environmental-Terrestrial-Soil-Boreal_forest
Buccal_mucosa	root-Host_associated-Mammals-Digestive_system-Oral_cavity-Buccal_mucosa
Cecum	root-Host_associated-Mammals-Digestive_system-Large_intestine-Cecum
Circulatory_system	root-Host_associated-Human-Circulatory_system
Coastal	root-Environmental-Aquatic-Marine-Coastal
Cold_seeps	root-Environmental-Aquatic-Marine-Cold_seeps
Contaminated	root-Environmental-Terrestrial-Soil-Contaminated
Coral_reef	root-Environmental-Aquatic-Marine-Intertidal_zone-Coral_reef
Crop	root-Environmental-Terrestrial-Soil-Crop
Desert	root-Environmental-Terrestrial-Soil-Desert
Diffuse_flow	root-Environmental-Aquatic-Marine-Hydrothermal_vents-Diffuse_flow
Digestive_system	root-Host_associated-Mammals-Digestive_system
Digestive_system	root-Host_associated-Human-Digestive_system
Digestive_system	root-Host_associated-Insecta-Digestive_system
Dissolved_organics_(aerobic)	root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(aerobic)
Dissolved_organics_(anaerobic)	root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(anaerobic)
Endophytes	root-Host_associated-Plants-Rhizoplane-Endophytes
Endophytes	root-Host_associated-Plants-Phylloplane-Endophytes
Engineered	root-Engineered
Environmental	root-Environmental
