,Foot,Hand,Nose,Skin
ERR503209,0.2164248,0.6262601,0.0033216774,0.17104882
ERR503884,0.26073363,0.46174914,0.07964784,0.15174681
ERR503730,0.02176392,0.0074932277,0.9870988,0.0010116696
ERR503427,0.39351025,0.40716547,0.010796338,0.19361809
ERR503380,0.48075697,0.48076943,9.435415e-05,0.04981503
ERR503162,0.31745324,0.044888884,0.6625889,0.016300619
ERR503971,5.733967e-05,6.0349703e-05,0.99999535,2.9802322e-07
ERR504326,0.14797348,0.05578524,0.7855197,0.007014364
ERR504481,0.91468906,0.03335011,1.129508e-05,0.033423334
ERR504031,0.5387414,0.24606028,0.086604,0.09028286
ERR504450,0.40547884,0.5211091,0.00036373734,0.07671693
ERR503829,0.5936365,0.21168977,0.001530081,0.24473748
ERR503976,0.18759707,0.55947447,0.072025865,0.17502782
ERR504486,0.04839605,0.0098079145,0.9516965,0.0087711215
ERR504457,0.0,1.0,0.0,0.0
ERR504112,0.21731824,0.06562507,0.6859632,0.011906505
ERR503578,0.9402181,0.034792185,0.00023880601,0.09658739
ERR504205,0.43308088,0.38764727,0.027552545,0.12223342
ERR503356,0.16143098,0.47309747,0.18435577,0.0997881
ERR503387,6.377697e-06,3.260374e-05,0.9999992,0.0
ERR503852,0.18611175,0.5687586,0.093593,0.11471778
ERR503420,0.052040488,0.2630853,0.5542477,0.031940907
ERR504160,0.40923348,0.35483116,0.013807714,0.24253842
ERR504501,0.024089605,0.09052771,0.887716,0.0050249696
ERR504488,0.4308689,0.16041663,0.28823808,0.04126197
ERR503324,0.20236969,0.19953492,0.4089086,0.0635016
ERR503033,0.33543706,0.2985276,0.18289274,0.07748845
ERR504038,0.36035126,0.37300956,0.0642688,0.13978067
ERR503820,0.0016253591,0.11075953,0.9787782,0.0006119311
ERR504459,0.09392473,0.83302224,0.044210106,0.072196335
ERR503117,0.1386224,0.39438763,0.27578127,0.070970714
ERR504353,0.3758274,0.33295238,0.11385557,0.10166219
ERR503739,0.24808228,0.37814838,0.11023122,0.21263775
ERR504095,0.73171645,0.07648337,0.0066989064,0.487131
ERR504044,0.413643,0.2620421,0.18138969,0.028674603
ERR504382,0.6399956,0.21515825,0.044587195,0.09015873
