,root-Engineered,root-Environmental,root-Host_associated,root-Mixed
ERR503209,0.00037340118,0.0054899193,0.010512502,0.98362416
ERR503884,1.4901161e-07,7.778406e-05,0.00017035007,0.99958503
ERR503730,0.00019367761,0.0013067666,0.0026885436,0.995811
ERR503427,0.0,4.9203634e-05,0.0044337213,0.9829397
ERR503380,1.1503696e-05,0.015058458,0.6848767,0.23875654
ERR503162,3.2093176e-05,0.0012706101,0.001994506,0.9967028
ERR503971,4.5171596e-06,2.7537299e-05,0.075087525,0.92488045
ERR504326,1.41859055e-05,0.0054858327,0.086080045,0.84876037
ERR504481,0.0041951835,0.014996469,0.0020328462,0.9040339
ERR504031,1.1919539e-05,0.00085156166,0.0047783046,0.99435824
ERR504450,0.00036442676,0.0013174972,0.0043574963,0.99396056
ERR503829,8.6426735e-07,0.00012469292,0.006363064,0.99074066
ERR503976,0.0,5.850196e-05,0.0024210513,0.9928281
ERR504486,2.2828579e-05,0.007610321,0.06431678,0.90249497
ERR504457,5.662441e-07,0.0088557005,0.009226441,0.97908676
ERR504112,1.7613173e-05,0.0038383305,0.01573518,0.9771589
ERR503578,0.0008679553,0.0021695115,0.24652152,0.750441
ERR504205,0.0005109763,0.0014016378,0.029632673,0.9684547
ERR503356,1.052022e-05,0.00073990226,0.00043195486,0.99866533
ERR503387,0.00042219993,0.0019248646,0.0060201325,0.9916328
ERR503852,0.0012278005,0.0036934256,0.0042135925,0.9908652
ERR503420,0.00095415115,0.03640783,0.14028713,0.8008852
ERR504160,5.662441e-07,0.00012910366,0.00030186772,0.99926245
ERR504501,3.5760484e-06,0.000120572426,0.0005989881,0.9992769
ERR504488,3.9573983e-06,0.002764912,0.0014679864,0.9957631
ERR503324,7.717636e-06,0.00015226689,0.00016010372,0.9996799
ERR503033,2.324353e-06,9.315292e-05,0.0003721051,0.9995324
ERR504038,9.23872e-06,0.00016701221,0.39336103,0.5732274
ERR503820,0.0,7.2687864e-05,0.014048874,0.97876775
ERR504459,0.00037825108,0.023303807,0.0076360106,0.8674351
ERR503117,0.0,8.049607e-05,0.14899465,0.7742406
ERR504353,1.758337e-06,6.830692e-05,0.003569305,0.9961994
ERR503739,2.8159224e-05,0.0028711394,0.0033768446,0.99372387
ERR504095,7.0512295e-05,0.010306984,0.0063397884,0.9777887
ERR504044,0.00068961905,0.0021362943,0.0022086354,0.99496543
ERR504382,1.1026859e-06,0.0015248954,0.0014507174,0.9970095
ERR503389,0.00014844403,0.0023893013,0.050031673,0.9474306
ERR503110,0.0001015923,0.00024759962,0.0017291217,0.9979217
ERR503903,5.59186e-05,0.0008275238,0.001510368,0.9976062
ERR503571,0.0094412565,0.0050756037,0.005875349,0.93384
ERR504354,0.0002513528,0.012448639,0.085199,0.876882
ERR503099,3.874302e-07,0.0009202659,0.0018283725,0.99560195
ERR503048,0.00021619687,0.00043343674,0.0060132532,0.9933371
ERR504506,0.00014561987,0.0011889182,0.559106,0.4395595
ERR504270,2.9802322e-08,6.309152e-05,0.009802967,0.9830975
ERR503484,0.0010888606,0.008096172,0.0025682582,0.98824674
ERR503034,4.2278258e-05,0.00013595185,0.00026534894,0.9995564
ERR503653,0.0,4.1007996e-05,0.020197123,0.96800923
ERR503595,3.5948317e-05,0.0008384267,0.00056546374,0.9985602
ERR503544,5.1437542e-05,0.0005067253,0.0012611724,0.9981807
ERR503682,1.4901161e-07,5.632639e-05,0.00018203259,0.99956775
ERR503125,1.4901161e-07,0.0006875396,0.0027077794,0.9950044
ERR504417,0.0008106828,0.042912126,0.15796709,0.75651467
ERR504361,3.4121193e-05,0.001958384,0.0024195407,0.99558794
ERR504183,1.2304976e-05,0.0005468713,0.0014704595,0.99797034
ERR504245,1.18870446e-07,0.000106923966,0.42334923,0.57654375
ERR504533,0.00016704919,0.0011475104,0.018595228,0.9800902
ERR503538,5.3831605e-05,0.00038381817,0.00094235083,0.99862
ERR504152,0.0,4.87864e-05,0.00056678057,0.99510205
ERR503812,0.00015987747,0.0069055567,0.021309586,0.971625
ERR503316,2.5689602e-05,0.0011356175,0.005576074,0.99255466
ERR504155,1.1174888e-06,0.00011521309,0.26401973,0.735864
ERR503770,0.0012539327,0.034320205,0.13919398,0.80896676
ERR503654,1.4663698e-07,0.00013871858,0.9029427,0.09691839
ERR503235,2.9802322e-07,9.262562e-05,0.004541129,0.9945244
ERR503543,4.827976e-06,8.094311e-05,0.13594142,0.82155895
ERR504548,1.5787875e-06,0.0006621077,0.00086103496,0.99847525
ERR504129,0.00065676286,0.01208657,0.010847417,0.97640926
ERR504410,4.172325e-07,0.00119555,0.0067284703,0.9850531
ERR504071,3.0834062e-06,0.14682324,0.002115645,0.851058
ERR503247,3.1411648e-05,0.0024040341,0.00443694,0.99276245
ERR503992,1.1917407e-06,0.0016858365,0.0011844414,0.99712855
ERR503150,0.0,8.198619e-05,0.114771456,0.82048315
ERR504462,0.0001094336,0.006679186,0.005684141,0.98752725
ERR503469,3.3930887e-06,0.0003326715,0.005509245,0.9941547
ERR504003,5.016193e-07,0.017860921,0.00050905504,0.98162955
ERR503008,0.000107763735,0.009433685,0.008605645,0.9818529
ERR504546,1.4901161e-07,5.26309e-05,0.005022675,0.99156654
ERR503415,1.8379964e-06,4.640941e-05,0.2849121,0.7150396
ERR502980,1.6384467e-06,4.2420874e-05,0.0011478064,0.99880815
ERR504237,6.106496e-05,0.004935086,0.17955971,0.7834095
ERR504541,0.00059934746,0.012586385,0.021171724,0.9656426
ERR502987,7.268653e-05,0.00024904075,0.0005271561,0.9991511
ERR503860,0.0,6.240606e-05,0.00071808696,0.9975633
ERR504078,1.5191803e-06,0.0007332577,0.00029948703,0.99896574
ERR503364,0.00012024984,0.0003541368,0.0049577663,0.9945679
ERR503995,5.9604645e-08,0.00010418892,0.009810686,0.98258865
ERR504465,0.0003116245,0.0016941295,0.010871823,0.9871224
ERR503714,2.1894677e-05,0.00043399123,0.00038683577,0.99915725
ERR502996,2.0802021e-05,0.005315393,0.028915375,0.9513774
ERR503871,4.4703484e-07,0.0013979971,0.5022941,0.40134272
ERR503403,2.8799459e-05,0.0009222677,0.00053387706,0.99851507
ERR504069,0.00013464689,0.0014114082,0.05577767,0.9259621
ERR504131,0.0029233098,0.008659035,0.0032149553,0.93016326
ERR504226,1.937151e-06,0.004215181,0.03186342,0.9541315
ERR504015,2.9802322e-08,0.00012290478,0.23940796,0.74100107
ERR503280,6.8843365e-06,0.00014087558,0.15591124,0.8312809
ERR503527,8.225441e-06,0.011585385,0.09430125,0.87549365
ERR503952,1.6650773e-05,0.00071142137,0.08250346,0.9167685
ERR503520,1.7881393e-07,0.00010210276,0.0012192726,0.997838
ERR503287,4.9761243e-06,0.00023885397,0.0002468694,0.9995093
ERR503190,3.576201e-07,4.7265457e-05,6.490805e-05,0.99988747
ERR502991,8.501757e-05,0.0003367351,0.0019667796,0.99761146
ERR504136,4.323183e-05,0.006051002,0.0025916842,0.99131405
ERR503300,8.4688436e-05,0.0002211789,0.0041699596,0.99552417
ERR503804,3.6031008e-05,0.0018583834,0.0027104318,0.9890236
ERR503639,2.1029506e-05,0.0001371088,0.0005504607,0.9992914
ERR503133,1.0254639e-05,0.012347029,0.0034475387,0.9841952
ERR503645,6.722121e-06,0.0034486563,0.0019172917,0.99462736
ERR502998,2.6725946e-05,0.0011815665,0.0007635942,0.9980281
ERR504067,8.940697e-08,7.364154e-05,0.020807326,0.96695566
ERR503555,0.0007877905,0.09866357,0.019787878,0.8807608
ERR503134,2.0051593e-06,0.00011675757,0.21869966,0.7811816
ERR503693,8.940697e-08,9.575486e-05,0.012605637,0.97796905
ERR503471,1.6778708e-05,0.0041425526,0.010128111,0.9833255
ERR503010,1.1920929e-07,0.00012767315,0.002637744,0.99518156
ERR503148,4.7290305e-05,0.0019877385,0.0013852998,0.99657965
ERR504143,0.0006197036,0.0008234829,0.17668162,0.8218752
ERR504192,1.6987324e-06,0.00012713671,0.0021582842,0.99703276
ERR503199,0.00017907594,0.0026640815,0.000893061,0.9962638
ERR503438,9.49921e-06,0.003064969,0.0029111356,0.9940144
ERR504345,2.3901463e-05,0.009055287,0.04578787,0.91547406
ERR503088,1.3518611e-05,0.00026717954,0.13502198,0.86469734
ERR503216,0.0003789371,0.00023221814,0.004710379,0.99467844
ERR503101,7.2132854e-05,0.0011455957,0.007743478,0.9910388
ERR503560,0.0005567153,0.0025963292,0.005123827,0.9917231
ERR503025,7.343292e-05,0.0071686804,0.021137476,0.9706954
ERR503836,5.9604645e-07,0.00016099215,0.0011742413,0.9978876
ERR503332,9.536743e-07,4.529953e-05,0.8660164,0.13311416
ERR504339,8.6426735e-07,9.0271235e-05,0.018606663,0.9812859
ERR503022,2.1157973e-06,0.00011389546,0.00030369143,0.9995803
ERR503831,0.00020720664,0.00034035137,0.00070711726,0.9987453
ERR503754,0.00021351519,0.0034763499,0.0049326634,0.9913775
