,root-Engineered-Wastewater,root-Environmental-Aquatic,root-Environmental-Terrestrial,root-Host_associated-Human,root-Host_associated-Insecta,root-Host_associated-Mammals,root-Host_associated-Plants
ERR503209,0.001154542,0.012499809,4.991889e-05,0.003584534,1.2636185e-05,0.0015572608,7.787347e-05
ERR503884,5.9604645e-08,6.702542e-05,2.2053719e-06,0.00016158819,2.9802322e-08,4.6491623e-06,1.4901161e-07
ERR503730,0.00027185678,0.00077199936,0.00018900633,0.00046753883,2.2053719e-06,0.0008049011,0.00011730194
ERR503427,0.0,8.293986e-05,2.2947788e-06,0.008009911,0.0,2.2053719e-06,8.940697e-08
ERR503380,5.6028366e-06,0.019616485,0.0006159544,0.0029585361,0.00031900406,0.7924276,0.00063592196
ERR503162,1.7940998e-05,0.00036901236,0.00014144182,0.0009677112,4.2021275e-06,0.0006092191,6.377697e-05
ERR503971,3.6656857e-06,0.00020435452,1.3798475e-05,0.047412217,2.4735928e-06,3.248453e-05,2.682209e-07
ERR504326,4.339218e-05,0.005261779,0.0045449734,0.013855845,1.1593103e-05,0.070500165,8.133054e-05
ERR504481,0.0180403,0.0055626333,0.004547596,0.00082725286,6.467104e-06,2.7298927e-05,5.0365925e-06
ERR504031,4.351139e-06,0.0002809763,7.122755e-05,0.0043444633,2.413988e-06,0.000510782,1.4483929e-05
ERR504450,0.0008004606,0.002229005,4.0471554e-05,0.00095915794,8.7320805e-06,0.001247704,5.915761e-05
ERR503829,1.4007092e-06,0.00032937527,3.9070845e-05,0.002869457,5.0365925e-06,0.00010704994,4.172325e-07
ERR503976,0.0,0.00012212992,7.748604e-07,0.0034307241,0.0,3.3974648e-06,8.940697e-08
ERR504486,2.2262335e-05,0.0028416514,0.00079897046,0.11053085,6.7174435e-05,0.0021371543,0.00018844008
ERR504457,8.940697e-08,0.00012281537,0.013818026,0.0024681091,6.145239e-05,8.702278e-06,0.021776825
ERR504112,2.0712614e-05,0.002600342,0.0021478236,0.0060888827,1.257658e-05,0.011726439,3.6120415e-05
ERR503578,0.0016569793,0.0017463863,0.0007041693,0.10881728,2.193451e-05,8.389354e-05,2.1755695e-06
