,root-Engineered-Wastewater-Activated_Sludge,root-Engineered-Wastewater-Industrial_wastewater,root-Engineered-Wastewater-Nutrient_removal,root-Engineered-Wastewater-Water_and_sludge,root-Environmental-Aquatic-Freshwater,root-Environmental-Aquatic-Marine,root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline,root-Environmental-Aquatic-Sediment,root-Environmental-Aquatic-Thermal_springs,root-Environmental-Terrestrial-Soil,root-Host_associated-Human-Circulatory_system,root-Host_associated-Human-Digestive_system,root-Host_associated-Human-Lympathic_system,root-Host_associated-Human-Reproductive_system,root-Host_associated-Human-Respiratory_system,root-Host_associated-Human-Skin,root-Host_associated-Insecta-Digestive_system,root-Host_associated-Mammals-Digestive_system,root-Host_associated-Plants-Phylloplane,root-Host_associated-Plants-Rhizoplane,root-Host_associated-Plants-Rhizosphere,root-Host_associated-Plants-Root
ERR503209,2.682209e-07,0.0009548068,8.940697e-08,0.0009190142,0.0028300583,0.0029065013,1.1920929e-07,0.00039353967,3.8266182e-05,5.221367e-05,0.0,0.0041062534,0.0,1.0669231e-05,6.556511e-06,2.759695e-05,1.1920929e-06,0.0021594763,9.536743e-07,0.0,2.0861626e-07,0.00040626526
ERR503884,0.0,0.0,0.0,0.0,2.7686357e-05,1.2665987e-05,0.0,1.4901161e-07,0.0,1.4603138e-06,0.0,0.0,0.0,5.543232e-06,5.90086e-06,9.903312e-05,0.0,6.854534e-07,0.0,0.0,2.0861626e-07,2.0563602e-06
ERR503730,6.854534e-07,7.763505e-05,2.9802322e-08,0.000119924545,0.00016021729,0.00024688244,1.2218952e-06,5.888939e-05,2.9593706e-05,0.0002937615,0.0,0.0004284382,0.0,4.529953e-06,5.662441e-07,8.583069e-06,1.7881393e-07,0.0005262792,7.748604e-07,0.0,1.3113022e-06,8.916855e-05
ERR503427,0.0,0.0,0.0,0.0,2.682209e-05,1.9878149e-05,0.0,2.0861626e-07,0.0,1.7285347e-06,0.0,0.0,0.0,3.3080578e-05,0.0014099777,0.005186707,0.0,2.0861626e-07,0.0,0.0,4.4703484e-07,1.6570091e-05
ERR503380,1.4901161e-07,2.3245811e-06,0.0,4.082918e-05,0.011089325,0.0006335974,6.517768e-05,0.0005220473,1.3709068e-06,0.0008725822,2.8312206e-06,0.00293082,0.0,1.3291836e-05,1.4901161e-07,2.3245811e-06,6.854534e-07,0.78309476,5.275011e-06,0.00012993813,4.2527914e-05,6.7949295e-05
ERR503162,2.3841858e-07,3.0398369e-06,0.0,7.4505806e-06,0.00026097894,0.0002079606,1.7881393e-07,8.9377165e-05,9.596348e-06,0.00014686584,0.0,0.000101834536,0.0,1.4990568e-05,5.930662e-06,0.00018653274,2.9802322e-08,0.0001373887,1.4901161e-07,0.0,3.1292439e-06,0.00012752414
ERR503971,1.2516975e-06,6.2584877e-06,0.0,9.030104e-06,2.1547079e-05,0.00023055077,0.0,1.1026859e-06,8.6426735e-07,2.5629997e-05,1.4901161e-07,0.07484397,0.0,0.00016605854,0.0060821474,0.00020062923,7.748604e-07,2.9623508e-05,5.9604645e-08,0.0,1.1920929e-07,0.0005235076
ERR504326,9.536743e-07,9.685755e-06,5.662441e-07,0.0002759993,0.004692316,0.00041037798,3.8325787e-05,0.0008216202,5.9604645e-05,0.0073412955,3.5762787e-06,0.007486373,0.0,1.9162893e-05,1.1920929e-06,0.0006055236,1.1920929e-07,0.099975556,1.4901161e-06,2.9802322e-07,4.351139e-06,2.7954578e-05
ERR504481,0.028966606,1.5079975e-05,0.0,9.331107e-05,5.4985285e-05,0.022943407,5.9604645e-08,3.8146973e-06,9.536743e-07,0.0051190555,8.940697e-08,7.748604e-07,0.0,1.4901161e-07,0.0025122762,1.7374754e-05,0.0,4.0262938e-05,0.0,0.0,8.225441e-06,5.504489e-05
ERR504031,4.172325e-07,1.7881393e-07,2.3841858e-07,2.0861626e-06,0.00014922023,0.000297606,8.940697e-08,5.814433e-05,9.536743e-07,8.1032515e-05,0.0,1.9133091e-05,0.0,4.258752e-05,3.8653612e-05,0.001490891,0.0,6.711483e-05,0.0,0.0,3.516674e-06,0.00013250113
ERR504450,8.940697e-08,0.00031125546,2.9802322e-08,0.00044184923,0.0005463362,0.00071138144,1.1920929e-07,0.00012728572,1.40964985e-05,4.634261e-05,0.0,0.0007016957,0.0,6.020069e-06,1.4305115e-06,2.1845102e-05,4.172325e-07,0.0013694465,6.854534e-07,0.0,1.4901161e-07,0.00016245246
ERR503829,1.3709068e-06,1.7881393e-07,0.0,2.9802322e-07,6.747246e-05,0.00028830767,0.0,2.861023e-06,5.9604645e-08,5.0485134e-05,0.0,2.4408102e-05,0.0,3.6746264e-05,0.0019013882,0.0012111962,2.9802322e-08,2.0056963e-05,0.0,0.0,1.2814999e-06,0.00010859966
ERR503976,0.0,0.0,0.0,0.0,4.506111e-05,1.6748905e-05,0.0,2.0861626e-07,0.0,6.2584877e-07,0.0,8.940697e-08,0.0,2.720952e-05,4.7177076e-05,0.003429085,0.0,4.172325e-07,0.0,0.0,1.4901161e-07,6.1690807e-06
ERR504486,4.8428774e-05,8.2582235e-05,0.0,1.758337e-06,0.0002810657,0.0054305196,3.1292439e-06,0.0009754598,0.00012078881,0.0021466017,4.798174e-06,0.11429834,0.0,8.124113e-05,0.0005335808,0.0016399026,2.2470951e-05,0.0016554892,2.503395e-05,0.0,7.3343515e-05,4.1931868e-05
ERR504457,0.0,0.0,0.0,0.0,3.4302473e-05,1.591444e-05,0.0,0.0001141727,1.7881393e-07,0.002063185,0.0,0.0014039278,0.0,0.0,1.1920929e-07,0.00022175908,0.0,2.5331974e-06,7.286668e-05,0.0,0.00017383695,0.03294775
ERR504112,1.4901161e-06,3.9339066e-06,6.2584877e-07,0.00019341707,0.0017519891,0.00037878752,2.810359e-05,0.00028148293,7.2836876e-05,0.0033486187,2.682209e-07,0.0011112988,0.0,2.9057264e-05,1.8179417e-06,0.00072029233,0.0,0.01677525,2.9802322e-07,0.0,3.0398369e-06,2.1904707e-05
ERR503578,0.0042634606,3.4689903e-05,0.0,1.31726265e-05,0.00022438169,0.004842609,0.0,5.275011e-06,1.2814999e-06,0.0013827682,1.1920929e-06,0.0011034608,0.0,6.5267086e-06,0.20543003,0.0011020601,1.758337e-06,6.097555e-05,0.0,0.0,1.6540289e-05,0.00036737323
ERR504205,6.67572e-06,0.00024443865,1.1920929e-07,1.347065e-05,0.0002348721,0.000669837,1.4901161e-07,0.00018545985,1.0937452e-05,0.00013002753,2.9802322e-08,0.008342415,0.0,4.9054623e-05,0.00022235513,0.0033631623,9.23872e-07,0.0006751716,1.2516975e-06,0.0,1.3709068e-06,0.0005083978
ERR503356,0.0,8.6426735e-07,2.0861626e-07,8.434057e-06,0.00067323446,0.0001578629,0.0,7.95722e-06,2.0861626e-07,3.2484531e-06,0.0,5.3703785e-05,0.0,3.2186508e-06,5.662441e-07,1.1980534e-05,0.0,6.458163e-05,0.0,0.0,0.0,6.556511e-06
ERR503387,3.2633543e-05,1.04010105e-05,0.0,8.165836e-06,3.257394e-05,0.0014154613,5.9604645e-08,1.6242266e-05,5.811453e-06,0.00024026632,0.0,4.9173832e-05,0.0,1.6391277e-06,0.0034964085,1.7493963e-05,4.172325e-07,9.208918e-06,0.0,0.0,1.4901161e-05,0.00048306584
ERR503852,6.2584877e-07,0.00048401952,0.0,0.000111967325,0.00088343024,0.0013749897,0.0,0.00018706918,1.1980534e-05,9.071827e-05,0.0,0.0011267662,0.0,5.7816505e-06,1.6629696e-05,7.6413155e-05,2.9802322e-08,0.0015447438,5.662441e-07,0.0,5.9604645e-08,8.267164e-05
ERR503420,0.00013309717,0.010046035,5.066395e-07,0.005825013,0.0076830685,0.007899344,1.1026859e-06,0.0010499954,0.0007259846,0.00693509,3.1292439e-06,0.09647849,0.0,1.963973e-05,0.000113904476,0.00024071336,1.9073486e-06,0.029107094,5.185604e-06,1.013279e-06,1.3411045e-06,0.0010615885
ERR504160,1.4901161e-07,5.9604645e-08,0.0,5.9604645e-08,5.725026e-05,0.0001745522,0.0,1.9073486e-06,1.1920929e-07,1.218915e-05,0.0,3.2782555e-07,0.0,1.3440847e-05,4.3332577e-05,7.712841e-05,0.0,5.543232e-06,0.0,0.0,5.364418e-07,1.6063452e-05
ERR504501,8.940697e-08,1.1920929e-07,0.0,2.9802322e-07,5.5909157e-05,5.581975e-05,0.0,3.0994415e-06,1.7881393e-07,1.2904406e-05,0.0,1.9818544e-05,0.0,8.85129e-06,1.2695789e-05,3.6478043e-05,0.0,4.61936e-06,0.0,0.0,1.7881393e-07,8.445978e-05
ERR504488,4.4703484e-07,8.940697e-08,2.682209e-07,3.1888485e-06,0.00023129582,0.0002245903,9.536743e-07,2.8043985e-05,7.2717667e-06,0.00047135353,0.0,2.0235777e-05,0.0,8.672476e-06,4.6789646e-06,0.0012356043,0.0,0.00015547872,0.0,0.0,1.7285347e-06,1.1861324e-05
ERR503324,0.0,1.1920929e-07,5.9604645e-08,1.2814999e-06,8.550286e-05,5.4568052e-05,0.0,4.053116e-06,1.7881393e-07,4.8577785e-06,0.0,1.9967556e-06,0.0,3.8146973e-06,3.874302e-07,8.404255e-06,0.0,7.0631504e-06,0.0,0.0,1.1920929e-07,2.503395e-06
ERR503033,0.0,8.940697e-08,8.940697e-08,2.3841858e-07,5.054474e-05,5.2034855e-05,0.0,1.9669533e-06,8.940697e-08,3.5762787e-06,0.0,5.4240227e-06,0.0,1.4275312e-05,3.8444996e-06,5.429983e-05,0.0,3.874302e-06,0.0,0.0,8.940697e-08,1.2427568e-05
ERR504038,0.00011879206,0.0002028346,0.0,2.3901463e-05,5.0365925e-06,0.000779897,0.0,7.4505806e-06,2.2053719e-06,0.00077065825,6.6012144e-05,0.3372934,0.0,0.00011059642,0.07455915,0.0074442327,3.489852e-05,0.0013411045,3.1292439e-06,0.0,4.7683716e-07,5.77569e-05
ERR503820,0.0,0.0,1.7881393e-07,2.9802322e-08,8.943677e-05,4.3720007e-05,0.0,3.3080578e-06,0.0,6.1690807e-06,0.0,1.6987324e-06,0.0,6.03199e-05,3.5852194e-05,0.011104941,0.0,6.0498714e-06,0.0,0.0,2.3841858e-07,9.357929e-06
ERR504459,1.0430813e-06,0.00054454803,0.0,0.0004762411,0.0022093654,0.005799234,0.0002374053,0.006311804,2.2500753e-05,0.00021061301,0.0,2.7894974e-05,0.0,2.0861626e-07,1.7881393e-07,2.0861626e-07,3.0100346e-06,0.0062205195,0.0,0.0,1.4901161e-07,2.8908253e-06
ERR503117,0.0,0.0,0.0,0.0,5.9604645e-08,9.387732e-06,0.0,0.0,0.0,3.9458275e-05,0.0,2.2351742e-06,0.0,4.3809414e-06,0.61018384,1.7940998e-05,0.0,7.4505806e-07,0.0,0.0,1.9669533e-06,0.0002501011
ERR504353,8.940697e-08,5.364418e-07,0.0,2.0861626e-07,1.6659498e-05,9.262562e-05,0.0,1.9669533e-06,1.7881393e-07,6.556511e-06,0.0,0.00056248903,0.0,7.879734e-05,0.00020217896,0.0011340678,8.940697e-08,2.9176474e-05,5.9604645e-08,0.0,5.9604645e-08,5.7935715e-05
ERR503739,1.4603138e-06,8.910894e-06,1.013279e-06,7.390976e-05,0.0015936494,0.0009300709,1.4901161e-07,0.00016102195,1.32620335e-05,0.00010487437,0.0,0.0003991723,0.0,2.1189451e-05,3.1799078e-05,0.000112861395,0.0,0.00016754866,8.940697e-08,0.0,3.5762787e-07,0.000113904476
ERR504095,0.0005761981,1.3291836e-05,0.0,9.23872e-06,2.9414892e-05,0.0039420724,1.4901161e-07,1.6570091e-05,4.4226646e-05,0.0062059164,5.9604645e-08,0.0003208518,0.0,1.1920929e-06,0.0026607513,1.8447638e-05,1.1920929e-07,4.7385693e-05,5.9604645e-08,0.0,3.0100346e-05,0.00035831332
ERR504044,1.7881393e-06,2.7775764e-05,5.9604645e-08,1.0251999e-05,0.0001898706,0.00020179152,5.9604645e-08,0.00018259883,6.7949295e-06,0.00022274256,0.0,0.00031784177,0.0,4.440546e-06,2.7298927e-05,0.00021311641,8.940697e-08,0.00011089444,5.066395e-07,0.0,2.6524067e-06,0.0004695058
ERR504382,1.1920929e-07,0.0,2.0861626e-07,4.7683716e-07,9.1701746e-05,0.00014695525,1.1920929e-07,9.655952e-06,6.854534e-07,0.00019538403,0.0,2.115965e-06,0.0,9.62615e-06,1.4573336e-05,0.00141868,0.0,3.1381845e-05,0.0,0.0,2.2947788e-06,2.270937e-05
ERR503389,4.3213367e-06,0.0006471276,0.0,1.7881393e-07,6.9111586e-05,5.2541494e-05,2.9802322e-08,0.00022122264,1.2218952e-05,0.0015241504,0.0,0.051745623,0.0,1.5795231e-06,0.00011780858,0.00042635202,7.748604e-07,0.00019064546,0.00025758147,0.0,1.1056662e-05,0.00734967
ERR503110,2.0861626e-07,1.6391277e-06,0.0,5.662441e-07,5.2005053e-05,8.225441e-06,0.0,1.0281801e-05,1.1920929e-07,9.703636e-05,0.0,1.4394522e-05,0.0,2.0861626e-07,3.7550926e-06,0.000119417906,0.0,0.000107735395,5.9604645e-08,0.0,6.556511e-07,5.877018e-05
ERR503903,4.7683716e-07,2.9802322e-06,5.9604645e-08,2.6524067e-06,9.2327595e-05,0.00021877885,1.7881393e-07,0.00011536479,2.026558e-06,7.69496e-05,0.0,2.6196241e-05,0.0,7.5399876e-06,1.3679266e-05,0.00016057491,0.0,5.3584576e-05,0.0,0.0,5.066395e-07,3.2156706e-05
ERR503571,0.046450526,4.1872263e-05,2.9802322e-08,0.0001270473,6.508827e-05,0.018799543,1.4901161e-07,5.6922436e-06,2.7418137e-06,0.0054656565,1.7881393e-07,5.811453e-06,0.0,6.854534e-07,0.010533392,4.9322844e-05,0.0,7.253885e-05,0.0,0.0,1.5556812e-05,0.00013622642
ERR504354,0.0,0.00022107363,0.0,0.0,0.0001911819,0.0028220415,0.0,1.859665e-05,8.940697e-08,0.00061270595,0.0,0.012816995,0.0,0.0,0.00037136674,0.01641345,0.0,0.00025469065,9.834766e-07,0.0,1.7881393e-07,4.5865774e-05
