,root-Engineered-Wastewater-Industrial_wastewater-Agricultural_wastewater,root-Engineered-Wastewater-Industrial_wastewater-Mine_water,root-Engineered-Wastewater-Industrial_wastewater-Petrochemical,root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(aerobic),root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(anaerobic),root-Environmental-Aquatic-Freshwater-Groundwater,root-Environmental-Aquatic-Freshwater-Lake,root-Environmental-Aquatic-Marine-Coastal,root-Environmental-Aquatic-Marine-Cold_seeps,root-Environmental-Aquatic-Marine-Hydrothermal_vents,root-Environmental-Aquatic-Marine-Intertidal_zone,root-Environmental-Aquatic-Marine-Marginal_Sea,root-Environmental-Aquatic-Marine-Neritic_zone,root-Environmental-Aquatic-Marine-Oceanic,root-Environmental-Aquatic-Marine-Oil_contaminated_sediment,root-Environmental-Aquatic-Marine-Oil_seeps,root-Environmental-Aquatic-Marine-Pelagic,root-Environmental-Aquatic-Marine-Sediment,root-Environmental-Aquatic-Marine-Volcanic,root-Environmental-Aquatic-Marine-Wetlands,root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline-Alkaline,root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline-Hypersaline,root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline-Salt_crystallizer_pond,root-Environmental-Aquatic-Thermal_springs-Sediment,root-Environmental-Terrestrial-Soil-Agricultural,root-Environmental-Terrestrial-Soil-Boreal_forest,root-Environmental-Terrestrial-Soil-Contaminated,root-Environmental-Terrestrial-Soil-Crop,root-Environmental-Terrestrial-Soil-Desert,root-Environmental-Terrestrial-Soil-Forest_soil,root-Environmental-Terrestrial-Soil-Grasslands,root-Environmental-Terrestrial-Soil-Loam,root-Environmental-Terrestrial-Soil-Permafrost,root-Environmental-Terrestrial-Soil-Sand,root-Environmental-Terrestrial-Soil-Tropical_rainforest,root-Environmental-Terrestrial-Soil-Uranium_contaminated,root-Environmental-Terrestrial-Soil-Wetlands,root-Host_associated-Human-Circulatory_system-Blood,root-Host_associated-Human-Digestive_system-Intestine,root-Host_associated-Human-Digestive_system-Large_intestine,root-Host_associated-Human-Digestive_system-Oral,root-Host_associated-Human-Lympathic_system-Lymph_nodes,root-Host_associated-Human-Reproductive_system-Female,root-Host_associated-Human-Reproductive_system-Vagina,root-Host_associated-Human-Respiratory_system-Nasopharyngeal,root-Host_associated-Human-Respiratory_system-Pulmonary_system,root-Host_associated-Mammals-Digestive_system-Fecal,root-Host_associated-Mammals-Digestive_system-Foregut,root-Host_associated-Mammals-Digestive_system-Large_intestine,root-Host_associated-Mammals-Digestive_system-Oral_cavity,root-Host_associated-Mammals-Digestive_system-Stomach,root-Host_associated-Plants-Phylloplane-Endophytes,root-Host_associated-Plants-Rhizoplane-Endophytes,root-Host_associated-Plants-Rhizosphere-Epiphytes,root-Host_associated-Plants-Rhizosphere-Forest_soil,root-Host_associated-Plants-Rhizosphere-Soil
ERR503209,1.2814999e-06,0.0,7.906556e-05,0.0,0.0,0.000261873,0.0054466724,8.922815e-05,0.0,1.1920929e-07,1.9013882e-05,2.682209e-07,0.0,1.6778708e-05,1.1920929e-07,0.0,0.0,0.0010073483,0.0,0.0,0.0,2.9802322e-07,0.0,7.3611736e-06,2.2053719e-06,2.3841858e-07,0.0,0.0,0.0,0.0,7.748604e-07,0.0,6.854534e-07,0.0,0.0,0.0,0.0,0.0,1.1920929e-07,3.0517578e-05,0.0024623573,2.9802322e-08,1.7881393e-07,2.026558e-06,3.963709e-06,0.0,0.0003809929,0.0,1.7881393e-07,0.0,5.9604645e-08,5.9604645e-08,0.0,0.0,0.0,0.0
ERR503884,0.0,0.0,2.9802322e-08,0.0,0.0,1.4901161e-07,4.5210123e-05,8.940697e-08,0.0,0.0,2.9802322e-07,0.0,0.0,2.0861626e-07,0.0,0.0,0.0,0.00015100837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861023e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23872e-07,4.0322542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR503730,1.1920929e-07,0.0,1.7344952e-05,0.0,0.0,5.5134296e-05,0.00031253695,7.688999e-06,0.0,8.940697e-08,8.314848e-06,1.4901161e-07,0.0,1.1146069e-05,1.4901161e-07,0.0,0.0,0.00082954764,0.0,0.0,0.0,2.3841858e-07,1.4901161e-07,1.886487e-05,4.4345856e-05,2.9802322e-08,0.0,0.0,0.0,0.0,4.4107437e-06,1.4901161e-07,7.033348e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.543232e-06,0.00011265278,0.0,5.9604645e-08,1.4901161e-06,8.6426735e-07,0.0,0.0001655519,0.0,8.940697e-08,0.0,0.0,5.9604645e-08,0.0,0.0,0.0,1.7881393e-07
ERR503427,0.0,0.0,0.0,0.0,0.0,0.0,3.1918287e-05,5.9604645e-08,0.0,0.0,2.682209e-07,0.0,0.0,1.013279e-06,0.0,0.0,0.0,0.00010475516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161e-07,9.6172094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0861626e-06,0.001962632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR503380,2.9802322e-08,0.0,4.351139e-06,0.0,0.0,8.702278e-06,0.014975071,6.169081e-05,1.1920929e-07,1.4901161e-07,6.586313e-05,0.00017088652,1.937151e-06,1.7791986e-05,8.6426735e-07,0.0,0.0,0.000546813,0.0,0.0,0.0,2.4348497e-05,0.0002540648,2.9683113e-05,0.0001912117,0.0,0.0,0.0,1.1920929e-07,0.0,4.4703484e-06,4.3809414e-06,6.324053e-05,2.9802322e-08,1.1920929e-07,5.9604645e-07,7.4505806e-07,4.082918e-06,4.053116e-06,0.0011968613,1.9669533e-06,0.0,2.9802322e-08,1.3709068e-06,5.9604645e-08,0.0,0.007575959,0.0,0.001167953,0.0,3.0398369e-06,2.3841858e-07,3.424287e-05,0.0,5.9604645e-08,1.3113022e-06
ERR503162,1.1920929e-07,0.0,5.1259995e-06,0.0,0.0,5.2303076e-05,0.00024238229,4.1127205e-06,0.0,0.0,1.6093254e-05,0.0,0.0,1.23381615e-05,0.0,0.0,0.0,0.0013287663,0.0,0.0,0.0,0.0,0.0,1.1920929e-06,7.212162e-06,5.9604645e-08,0.0,0.0,0.0,0.0,6.3478947e-06,1.1920929e-07,2.0861626e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.6491623e-06,4.8816204e-05,0.0,8.940697e-08,6.5267086e-06,1.1831522e-05,0.0,2.8014183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3841858e-07
ERR503971,5.662441e-07,0.0,5.632639e-06,0.0,0.0,5.4836273e-06,5.686283e-05,9.119511e-06,8.940697e-08,1.1920929e-07,0.00030356646,0.0,0.0,2.3841858e-06,0.0,0.0,0.0,0.00019270182,0.0,0.0,0.0,0.0,0.0,1.3709068e-06,0.0,4.7683716e-07,0.0,0.0,0.0,0.0,7.7188015e-06,0.0,1.1920929e-06,0.0,2.682209e-07,0.0,0.0,8.940697e-08,0.0,4.0352345e-05,0.118872225,0.0,4.61936e-06,0.00011253357,0.010700703,7.2568655e-05,2.4437904e-05,0.0,0.0,1.4901161e-07,0.0,8.940697e-08,0.0,0.0,0.0,0.0
ERR504326,6.556511e-07,0.0,1.4007092e-06,2.9802322e-08,0.0,1.5288591e-05,0.003963977,5.108118e-05,0.0,0.0,1.5079975e-05,3.4868717e-06,0.0,8.9108944e-05,3.5762787e-07,0.0,0.0,0.00044870377,0.0,0.0,2.9802322e-08,1.719594e-05,3.9339066e-06,4.2557716e-05,0.0004490912,3.1888485e-06,8.940697e-08,1.7881393e-07,1.7881393e-07,3.874302e-07,3.993511e-06,1.9013882e-05,0.0024608374,5.9604645e-08,1.6987324e-06,4.172325e-07,1.2516975e-06,4.976988e-06,2.682209e-07,0.0034338832,0.0006404221,8.940697e-08,2.9802322e-08,1.0848045e-05,1.013279e-06,5.9604645e-08,0.0070402324,0.0,0.00015568733,2.9802322e-08,2.4437904e-06,1.7881393e-07,3.2782555e-07,0.0,0.0,1.2814999e-06
ERR504481,6.3955784e-05,0.0,6.574392e-05,0.0,0.0,2.2411346e-05,4.529953e-06,0.0053785145,2.9802322e-08,0.0,7.122755e-06,1.7881393e-07,0.0,4.7534704e-05,0.0,0.0,0.0,0.00030317903,0.0,0.0,0.0,0.0,3.2782555e-06,5.9604645e-08,0.00032138824,2.0861626e-07,0.0,4.142523e-06,0.0,1.7464161e-05,0.0004157126,0.0,2.682209e-07,5.9604645e-08,3.874302e-07,1.1920929e-07,1.7881393e-07,0.0,1.1920929e-07,3.629923e-05,0.0,0.0,0.0,0.0,0.00011509657,3.299117e-05,4.297495e-05,0.0,5.9604645e-08,0.0,1.4901161e-07,0.0,1.4901161e-07,0.0,1.1920929e-07,0.0
ERR504031,0.0,0.0,1.1026859e-06,0.0,0.0,4.7028065e-05,0.00015193224,4.3809414e-06,0.0,0.0,1.4036894e-05,0.0,0.0,2.0384789e-05,0.0,0.0,0.0,0.0011058748,0.0,0.0,0.0,0.0,0.0,8.940697e-08,8.6426735e-07,2.9802322e-08,0.0,0.0,0.0,0.0,2.2739172e-05,8.940697e-08,1.4901161e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.917383e-06,5.364418e-06,0.0,8.940697e-08,9.447336e-06,3.0606985e-05,0.0,8.225441e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9604645e-08
