Source Environment,root-Engineered-Wastewater,root-Engineered-Wastewater-Activated_Sludge,root-Engineered-Wastewater-Industrial_wastewater,root-Engineered-Wastewater-Industrial_wastewater-Agricultural_wastewater,root-Engineered-Wastewater-Industrial_wastewater-Mine_water,root-Engineered-Wastewater-Industrial_wastewater-Petrochemical,root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(aerobic),root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(anaerobic),root-Engineered-Wastewater-Water_and_sludge,root-Environmental-Aquatic-Freshwater,root-Environmental-Aquatic-Freshwater-Groundwater-Biofilm,root-Environmental-Aquatic-Freshwater-Lake,root-Environmental-Aquatic-Marine,root-Environmental-Aquatic-Marine-Coastal,root-Environmental-Aquatic-Marine-Coastal-Sediment,root-Environmental-Aquatic-Marine-Cold_seeps,root-Environmental-Aquatic-Marine-Cold_seeps-Sediment,root-Environmental-Aquatic-Marine-Hydrothermal_vents,root-Environmental-Aquatic-Marine-Hydrothermal_vents-Black_smokers,root-Environmental-Aquatic-Marine-Hydrothermal_vents-Diffuse_flow,root-Environmental-Aquatic-Marine-Hydrothermal_vents-Microbial_mats,root-Environmental-Aquatic-Marine-Hydrothermal_vents-Sediment,root-Environmental-Aquatic-Marine-Intertidal_zone,root-Environmental-Aquatic-Marine-Intertidal_zone-Coral_reef,root-Environmental-Aquatic-Marine-Intertidal_zone-Estuary,root-Environmental-Aquatic-Marine-Intertidal_zone-Mangrove_swamp,root-Environmental-Aquatic-Marine-Intertidal_zone-Microbialites,root-Environmental-Aquatic-Marine-Intertidal_zone-Salt_marsh,root-Environmental-Aquatic-Marine-Intertidal_zone-Sediment,root-Environmental-Aquatic-Marine-Marginal_Sea,root-Environmental-Aquatic-Marine-Neritic_zone,root-Environmental-Aquatic-Marine-Neritic_zone-Sediment,root-Environmental-Aquatic-Marine-Oceanic,root-Environmental-Aquatic-Marine-Oceanic-Abyssal_plane,root-Environmental-Aquatic-Marine-Oceanic-Aphotic_zone,root-Environmental-Aquatic-Marine-Oceanic-Benthic,root-Environmental-Aquatic-Marine-Oceanic-Oil-contaminated,root-Environmental-Aquatic-Marine-Oceanic-Oil-contaminated_sediments,root-Environmental-Aquatic-Marine-Oceanic-Photic_zone,root-Environmental-Aquatic-Marine-Oceanic-Sediment,root-Environmental-Aquatic-Marine-Oil_seeps,root-Environmental-Aquatic-Marine-Oil-contaminated_sediment,root-Environmental-Aquatic-Marine-Pelagic,root-Environmental-Aquatic-Marine-Sediment,root-Environmental-Aquatic-Marine-Volcanic,root-Environmental-Aquatic-Marine-Wetlands,root-Environmental-Aquatic-Marine-Wetlands-Sediment,root-Environmental-Aquatic-Non-marine_Saline_and_Alkaline-Alkaline-Sediment,root-Environmental-Aquatic-Non-marine_Saline_and_Alkaline-Hypersaline,root-Environmental-Aquatic-Non-marine_Saline_and_Alkaline-Hypersaline-Sediment,root-Environmental-Aquatic-Non-marine_Saline_and_Alkaline-Salt_crystallizer_pond,root-Environmental-Aquatic-Sediment,root-Environmental-Aquatic-Thermal_springs-Sediment,root-Environmental-Terrestrial-Soil,root-Environmental-Terrestrial-Soil-Agricultural,root-Environmental-Terrestrial-Soil-Boreal_forest,root-Environmental-Terrestrial-Soil-Contaminated,root-Environmental-Terrestrial-Soil-Crop,root-Environmental-Terrestrial-Soil-Crop-Agricultural_land,root-Environmental-Terrestrial-Soil-Desert,root-Environmental-Terrestrial-Soil-Forest_soil,root-Environmental-Terrestrial-Soil-Grasslands,root-Environmental-Terrestrial-Soil-Loam-Agricultural,root-Environmental-Terrestrial-Soil-Permafrost,root-Environmental-Terrestrial-Soil-Sand,root-Environmental-Terrestrial-Soil-Tropical_rainforest,root-Environmental-Terrestrial-Soil-Uranium_contaminated,root-Environmental-Terrestrial-Soil-Wetlands,root-Host-associated-Human,root-Host-associated-Human-Circulatory_system,root-Host-associated-Human-Circulatory_system-Blood,root-Host-associated-Human-Digestive_system,root-Host-associated-Human-Digestive_system-Intestine,root-Host-associated-Human-Digestive_system-Large_intestine,root-Host-associated-Human-Digestive_system-Large_intestine-Fecal,root-Host-associated-Human-Digestive_system-Oral,root-Host-associated-Human-Digestive_system-Oral-buccal_mucosa,root-Host-associated-Human-Digestive_system-Oral-Periodontal_pockets,root-Host-associated-Human-Digestive_system-Oral-Saliva,root-Host-associated-Human-Digestive_system-Oral-Subgingival_plaque,root-Host-associated-Human-Digestive_system-Oral-Supragingival_plaque,root-Host-associated-Human-Digestive_system-Oral-Throat,root-Host-associated-Human-Digestive_system-Oral-tongue_dorsum,root-Host-associated-Human-Lympathic_system-Lymph_nodes,root-Host-associated-Human-Reproductive_system-Female,root-Host-associated-Human-Reproductive_system-Vagina,root-Host-associated-Human-Reproductive_system-Vagina-posterior_fornix,root-Host-associated-Human-Respiratory_system,root-Host-associated-Human-Respiratory_system-Nasopharyngeal,root-Host-associated-Human-Respiratory_system-Nasopharyngeal-Nasal_cavity,root-Host-associated-Human-Respiratory_system-Nasopharyngeal-Pharynx,root-Host-associated-Human-Respiratory_system-Pulmonary_system-Sputum,root-Host-associated-Human-Skin,root-Host-associated-Insecta,root-Host-associated-Insecta-Digestive_system,root-Host-associated-Mammals-Digestive_system,root-Host-associated-Mammals-Digestive_system-Fecal,root-Host-associated-Mammals-Digestive_system-Foregut-Rumen,root-Host-associated-Mammals-Digestive_system-Large_intestine,root-Host-associated-Mammals-Digestive_system-Large_intestine-Cecum,root-Host-associated-Mammals-Digestive_system-Large_intestine-Fecal,root-Host-associated-Mammals-Digestive_system-Oral_cavity-Buccal_mucosa,root-Host-associated-Mammals-Digestive_system-Stomach,root-Host-associated-Mammals-Digestive_system-Stomach-Rumen,root-Host-associated-Plants,root-Host-associated-Plants-Phylloplane,root-Host-associated-Plants-Phylloplane-Endophytes,root-Host-associated-Plants-Rhizoplane-Endophytes,root-Host-associated-Plants-Rhizosphere,root-Host-associated-Plants-Rhizosphere-Epiphytes,root-Host-associated-Plants-Rhizosphere-Forest_soil,root-Host-associated-Plants-Rhizosphere-Soil,root-Host-associated-Plants-Root,root-Mixed,Unknown
WellC_2,0.0031,0.0043,0.0021,0.0055,1.00E-04,0.0194,0.0421,0.0029,0.006,0.0016,0.0038,0.0024,0.0013,0.0024,9.00E-04,3.00E-04,7.00E-04,8.00E-04,0,0.0011,7.00E-04,0.0021,0.001,6.00E-04,0.0011,0.0013,0.0049,0.002,0.002,0,0,8.00E-04,6.00E-04,0.0028,0.0018,0.0028,0.0141,0.0011,0.0064,0.0015,7.00E-04,0.0014,0.0047,0,0.0037,0.002,0.0028,0.005,0.0017,0.0015,4.00E-04,0.0019,0.0019,0.0034,0.0015,0.0031,0.1369,0.0031,0.0402,0.0167,0.0066,0.0147,0.0023,0.0016,0.002,0.0016,0.0026,0.0034,4.00E-04,0.0027,0.0011,9.00E-04,0.0016,0.0088,0.0028,3.00E-04,4.00E-04,7.00E-04,4.00E-04,4.00E-04,3.00E-04,6.00E-04,0,3.00E-04,4.00E-04,0,3.00E-04,0.0014,0.0014,3.00E-04,0.005,6.00E-04,7.00E-04,0.0013,0,0.0038,0.003,5.00E-04,0.0022,0.0012,0.0029,0.0034,0,3.00E-04,0.0166,0.0026,0.0035,0.0055,0.0045,0.0048,0.004,0.0028,0.0031,0.0084,0.478
WellB_1,0.0024,0.0032,0.0019,0.0069,0,0.1375,0.0683,0.0022,0.0017,0.0042,0.0057,0.0024,0.0011,0.002,0.0016,0.0014,0.001,0.0011,1.00E-04,0.0012,0.0015,0.0018,6.00E-04,6.00E-04,7.00E-04,0.0021,0.0045,8.00E-04,0.0018,0,0,8.00E-04,3.00E-04,0.0011,0.0022,0.0029,0.0223,9.00E-04,0.0056,0.0011,8.00E-04,0.0018,0.003,0,0.0028,0.0063,0.0028,0.0027,0.0012,0.0012,4.00E-04,0.0011,0.0015,0.0039,0.0034,0.0017,0.1716,0.0041,0.0162,0.0268,0.0077,0.017,0.0028,0.001,0.0016,0.0021,0.0024,0.0052,2.00E-04,2.00E-04,0.0014,6.00E-04,2.00E-04,0.0047,0.0016,2.00E-04,4.00E-04,2.00E-04,1.00E-04,1.00E-04,4.00E-04,0,0,0,2.00E-04,8.00E-04,4.00E-04,3.00E-04,2.00E-04,3.00E-04,0.0023,0,1.00E-04,7.00E-04,1.00E-04,0.0028,0.0025,2.00E-04,0.0086,4.00E-04,9.00E-04,0.0039,1.00E-04,9.00E-04,0.0203,0.0027,0.0018,0.006,0.0042,0.0027,0.0175,0.0016,0.0054,0.0099,0.3013
WellF,0.0037,0.0047,0.0022,0.0034,0,0.0109,0.0185,0.0013,0.0038,8.00E-04,0.0031,0.0053,0.001,0.0032,0.0013,5.00E-04,1.00E-04,6.00E-04,1.00E-04,0.0016,9.00E-04,3.00E-04,2.00E-04,0.001,6.00E-04,0.0039,0.0017,7.00E-04,8.00E-04,0,0,0,0,5.00E-04,3.00E-04,0.0044,0.014,4.00E-04,0.0079,0.0012,2.00E-04,0.001,0.0017,0,1.00E-04,0.0014,1.00E-04,0.0031,0.0015,0.001,3.00E-04,5.00E-04,0.0016,0.0014,9.00E-04,0.0012,0.1789,0.0054,0.0035,0.0029,0.0073,0.0111,0.0015,3.00E-04,8.00E-04,6.00E-04,0.001,0.0019,4.00E-04,0.0014,0.0018,0.0019,0.0015,0.006,0.0066,2.00E-04,0.001,7.00E-04,0,5.00E-04,4.00E-04,1.00E-04,0,0,1.00E-04,0,9.00E-04,9.00E-04,7.00E-04,0,0.0031,1.00E-04,4.00E-04,1.00E-04,0,0.0045,0.0024,4.00E-04,9.00E-04,0.0011,0.0036,0.0032,0,4.00E-04,0.0193,0.0047,0.0039,0.0086,0.0042,0.0015,0.0043,0.0011,0.0028,0.0117,0.5565
WellG,0.0028,0.0056,0.0016,0.0056,0,0.0014,0.1369,0.0016,0.0016,0.002,0.0022,0.0026,0.0177,0.0026,7.00E-04,3.00E-04,1.00E-04,0.0012,0,0.0011,1.00E-04,9.00E-04,3.00E-04,6.00E-04,6.00E-04,0.0016,0.0033,0.0019,0.0014,0,0,4.00E-04,3.00E-04,3.00E-04,4.00E-04,0.0014,4.00E-04,7.00E-04,0.0026,5.00E-04,4.00E-04,0.001,0.0016,0,0,9.00E-04,9.00E-04,0,0.0033,2.00E-04,6.00E-04,0.0014,0.0013,0.0012,0.0014,5.00E-04,0.1771,0.0026,0.0061,0.0072,0.0229,0.0051,0.0023,0.001,9.00E-04,0.0013,8.00E-04,4.00E-04,3.00E-04,6.00E-04,0.002,0.001,3.00E-04,8.00E-04,3.00E-04,0,0,2.00E-04,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,0,0,3.00E-04,2.00E-04,0,0,0,9.00E-04,2.00E-04,0,0.0037,3.00E-04,1.00E-04,0.001,1.00E-04,1.00E-04,0.0017,1.00E-04,0,0.0106,0.0074,0.0082,0.0032,0.0111,8.00E-04,0.0016,0.0019,0.0032,0.0219,0.4679
WellA_1,0.0043,0.0044,0.004,0.0031,0,0.09,0.0477,0.003,0.0038,0.0015,0.0077,0.0032,6.00E-04,0.0015,0.0012,4.00E-04,1.00E-04,0.0013,0,0.0018,7.00E-04,7.00E-04,3.00E-04,2.00E-04,8.00E-04,0.0012,0.0038,5.00E-04,0.0011,0,1.00E-04,6.00E-04,4.00E-04,7.00E-04,9.00E-04,0.0036,0.0053,0.0013,0.002,0.0014,2.00E-04,7.00E-04,0.0018,0,6.00E-04,0.003,4.00E-04,0.0034,0.0017,4.00E-04,1.00E-04,9.00E-04,0.0012,0.0026,0.0022,0.0012,0.1242,0.0065,0.0092,0.0185,0.0113,0.0144,0.0022,8.00E-04,0.001,0.001,0.001,0.0025,1.00E-04,0.0019,4.00E-04,7.00E-04,2.00E-04,0.0053,0.001,0,0.0014,3.00E-04,2.00E-04,0,6.00E-04,0,4.00E-04,0,2.00E-04,0.0026,8.00E-04,0.0011,0.0018,1.00E-04,6.00E-04,0,3.00E-04,7.00E-04,0,0.0026,0.0014,2.00E-04,0.0028,1.00E-04,4.00E-04,0.0023,0,2.00E-04,0.028,0.0014,0.0027,0.0188,0.0047,0.0047,0.0048,0.0017,0.003,0.0206,0.4607
WellB_2,0.0053,0.0044,0.0114,0.0034,1.00E-04,0.0387,0.0442,0.0058,0.0043,2.00E-04,0.0046,0.0052,4.00E-04,6.00E-04,6.00E-04,2.00E-04,1.00E-04,1.00E-04,0,5.00E-04,3.00E-04,1.00E-04,3.00E-04,4.00E-04,4.00E-04,3.00E-04,9.00E-04,1.00E-04,0.0014,0,0,0,2.00E-04,2.00E-04,1.00E-04,0.0024,0.0155,0.0014,0.0024,3.00E-04,2.00E-04,4.00E-04,5.00E-04,0,3.00E-04,0.0018,4.00E-04,0.0029,0.0056,6.00E-04,2.00E-04,0.001,0.0011,0.0014,0.001,0.0013,0.249,0.0039,0.0026,0.0038,0.0024,0.0155,0.0011,6.00E-04,7.00E-04,1.00E-04,2.00E-04,8.00E-04,4.00E-04,2.00E-04,8.00E-04,9.00E-04,8.00E-04,0.0012,0.0014,3.00E-04,9.00E-04,6.00E-04,4.00E-04,0,4.00E-04,7.00E-04,0,0,0,0,0.0012,9.00E-04,0.0017,3.00E-04,0.0019,1.00E-04,0.0033,4.00E-04,0,0.0027,0.0016,5.00E-04,0.0026,3.00E-04,0.0013,0.0011,0,9.00E-04,0.0148,0.0015,0.0043,0.0336,0.0027,7.00E-04,0.0044,0.0011,0.0033,0.0713,0.3763
WellC_1,0.0041,0.0023,0.013,0.0023,1.00E-04,0.0287,0.019,0.0124,0.0025,0.0015,0.0042,0.0038,1.00E-04,0.001,5.00E-04,2.00E-04,0,5.00E-04,0,0,8.00E-04,5.00E-04,1.00E-04,2.00E-04,3.00E-04,8.00E-04,0.002,4.00E-04,0.0011,0,0,1.00E-04,2.00E-04,3.00E-04,6.00E-04,0.0023,0.015,2.00E-04,0.002,3.00E-04,3.00E-04,5.00E-04,6.00E-04,0,9.00E-04,0.0028,1.00E-04,0.0094,0.0033,2.00E-04,1.00E-04,4.00E-04,0.001,0.0037,5.00E-04,0.0014,0.0933,0.004,0.0087,0.0077,0.0046,0.0133,8.00E-04,5.00E-04,6.00E-04,9.00E-04,4.00E-04,0.0016,0,1.00E-04,2.00E-04,9.00E-04,8.00E-04,5.00E-04,3.00E-04,3.00E-04,3.00E-04,1.00E-04,0,5.00E-04,0,0,1.00E-04,0,3.00E-04,1.00E-04,3.00E-04,0.0013,0.0014,3.00E-04,0.0044,1.00E-04,7.00E-04,2.00E-04,0,0.0012,3.00E-04,0.0013,0.0052,4.00E-04,3.00E-04,0.0013,1.00E-04,5.00E-04,0.013,5.00E-04,0.0011,0.0037,0.0059,1.00E-04,0.0021,7.00E-04,0.0011,0.4218,0.2412
WellH,0.0037,0.0075,0.0033,0.0035,0,0.006,0.0389,0.0033,0.0095,0.0011,0.0045,0.0036,4.00E-04,0.0028,0.0013,7.00E-04,3.00E-04,5.00E-04,0,0.0016,3.00E-04,0.0011,4.00E-04,3.00E-04,2.00E-04,0.0019,0.0031,3.00E-04,9.00E-04,1.00E-04,0,4.00E-04,1.00E-04,5.00E-04,6.00E-04,0.0023,0.0045,4.00E-04,0.0023,0.0012,4.00E-04,0.002,0.0011,0,6.00E-04,4.00E-04,7.00E-04,9.00E-04,0.0024,0.0011,1.00E-04,0.001,0.0017,0.002,0.0018,0.0014,0.1244,0.0043,0.0094,0.009,0.0068,0.0094,0.0019,0.0012,9.00E-04,5.00E-04,0.0024,0.0031,1.00E-04,0.0093,0.0018,0.0016,9.00E-04,0.0042,0.0019,4.00E-04,0.0012,9.00E-04,1.00E-04,0,6.00E-04,0,0,3.00E-04,3.00E-04,4.00E-04,7.00E-04,9.00E-04,0.0012,3.00E-04,0.0061,1.00E-04,6.00E-04,4.00E-04,0,0.0063,0.0026,1.00E-04,0.0018,5.00E-04,0.0044,0.0176,0,5.00E-04,0.0303,0.01,0.005,0.0072,0.0042,0.0017,0.0037,0.0014,0.0043,0.0511,0.5087
WellE,0.0023,0.0035,0.0039,0.0038,2.00E-04,3.00E-04,0.0619,4.00E-04,0.0017,0.0015,0.0027,0.0033,2.00E-04,2.00E-04,0.0014,3.00E-04,4.00E-04,2.00E-04,0,0,5.00E-04,9.00E-04,1.00E-04,5.00E-04,4.00E-04,3.00E-04,0.001,3.00E-04,4.00E-04,0,0,0.0018,0,4.00E-04,0.0019,5.00E-04,8.00E-04,3.00E-04,0.0042,3.00E-04,0,0.0027,0,0,6.00E-04,2.00E-04,2.00E-04,0.0109,6.00E-04,9.00E-04,0,3.00E-04,6.00E-04,0.0012,0.0027,0.001,0.2454,0.0027,0.0047,0.0092,0.0129,0.0083,9.00E-04,6.00E-04,0.0012,1.00E-04,3.00E-04,9.00E-04,1.00E-04,0,5.00E-04,4.00E-04,2.00E-04,7.00E-04,3.00E-04,2.00E-04,0,1.00E-04,0,0,1.00E-04,0,0,0,1.00E-04,0,0,6.00E-04,1.00E-04,1.00E-04,0.0062,0,0.0011,7.00E-04,0,0.0014,1.00E-04,1.00E-04,0.0022,1.00E-04,3.00E-04,2.00E-04,0,6.00E-04,0.0049,0.0012,0.0026,0.0043,0.0108,0.005,0.0026,0.0017,0.0026,0.0011,0.5348
WellA_2,0.0042,0.0052,0.0027,0.0033,1.00E-04,0.0074,0.0778,0.0036,0.0023,0.0021,0.0056,0.0033,0.0047,0.0012,0.0011,2.00E-04,1.00E-04,0.0012,0,4.00E-04,4.00E-04,5.00E-04,3.00E-04,8.00E-04,4.00E-04,6.00E-04,0.0016,0.0011,9.00E-04,0,0,4.00E-04,1.00E-04,6.00E-04,3.00E-04,0.001,0.0014,0.001,9.00E-04,2.00E-04,3.00E-04,0.0011,6.00E-04,0,4.00E-04,5.00E-04,0.0011,0.0011,0.0058,3.00E-04,3.00E-04,8.00E-04,0.0014,0.0012,0.0023,0.0017,0.2383,0.0017,0.0032,0.0085,0.0283,0.0164,0.0023,9.00E-04,8.00E-04,5.00E-04,6.00E-04,6.00E-04,3.00E-04,3.00E-04,5.00E-04,8.00E-04,8.00E-04,0.0031,6.00E-04,0,5.00E-04,4.00E-04,0,5.00E-04,0,0,6.00E-04,1.00E-04,9.00E-04,0,4.00E-04,0.001,0.001,0,3.00E-04,0,0.0012,7.00E-04,0,0.0058,9.00E-04,1.00E-04,7.00E-04,3.00E-04,0.0011,0.001,0,9.00E-04,0.0398,0.0036,0.0027,0.0166,0.0097,0.0033,0.006,0.0013,0.0041,0.1348,0.2933
