SampleID	Study	Env	Description	SourceSink	id	Details
ERR904476	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	1	Undefined
ERR904473	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	2	Undefined
ERR904479	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	3	Undefined
ERR904480	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	4	Undefined
ERR904471	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	5	Undefined
ERR904474	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	6	Undefined
ERR904475	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	7	Undefined
ERR904481	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	8	Undefined
ERR904478	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	9	Undefined
ERR904472	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	10	Undefined
ERR904477	MGYS00001601	root-Environmental-Aquatic-Freshwater-Groundwater	Well	Sink	11	Undefined
SRR2155004	Mixed	root-Host-associated-Human-Digestive_system-Oral-Subgingival_plaque	Possible pollution source	Source	1	Undefined
DRR049475	Mixed	root-Host-associated-Human-Digestive_system-Oral-Subgingival_plaque	Possible pollution source	Source	1	Undefined
SRR6745942	Mixed	root-Environmental-Aquatic-Marine-Coastal-Sediment	Possible pollution source	Source	1	Undefined
SRR6172326	Mixed	root-Environmental-Aquatic-Marine-Coastal-Sediment	Possible pollution source	Source	1	Undefined
SRR5081943	Mixed	root-Environmental-Aquatic-Marine-Wetlands	Possible pollution source	Source	1	Undefined
SRR5081942	Mixed	root-Environmental-Aquatic-Marine-Wetlands	Possible pollution source	Source	1	Undefined
SRR4125127	Mixed	root-Host-associated-Mammals-Digestive_system-Large_intestine-Cecum	Possible pollution source	Source	1	Undefined
ERR537743	Mixed	root-Host-associated-Mammals-Digestive_system-Large_intestine-Cecum	Possible pollution source	Source	1	Undefined
SRR994737	Mixed	root-Host-associated-Human-Skin	Possible pollution source	Source	1	Undefined
SRR995587	Mixed	root-Host-associated-Human-Skin	Possible pollution source	Source	1	Undefined
SRR3589514	Mixed	root-Environmental-Aquatic-Marine-Intertidal_zone-Sediment	Possible pollution source	Source	1	Undefined
SRR3589570	Mixed	root-Environmental-Aquatic-Marine-Intertidal_zone-Sediment	Possible pollution source	Source	1	Undefined
SRR3884377	Mixed	root-Environmental-Aquatic-Marine-Oceanic-Aphotic_zone	Possible pollution source	Source	1	Undefined
SRR3884379	Mixed	root-Environmental-Aquatic-Marine-Oceanic-Aphotic_zone	Possible pollution source	Source	1	Undefined
SRR1773438	Mixed	root-Environmental-Terrestrial-Soil-Crop	Possible pollution source	Source	1	Undefined
SRR1525720	Mixed	root-Host-associated-Human-Digestive_system-Oral-Periodontal_pockets	Possible pollution source	Source	1	Undefined
SRR1525751	Mixed	root-Host-associated-Human-Digestive_system-Oral-Periodontal_pockets	Possible pollution source	Source	1	Undefined
ERR2278752	Mixed	root-Host-associated-Human-Circulatory_system	Possible pollution source	Source	1	Undefined
ERR2278753	Mixed	root-Host-associated-Human-Circulatory_system	Possible pollution source	Source	1	Undefined
SRR5002909	Mixed	root-Environmental-Aquatic-Freshwater-Groundwater-Biofilm	Possible pollution source	Source	1	Undefined
SRR5003009	Mixed	root-Environmental-Aquatic-Freshwater-Groundwater-Biofilm	Possible pollution source	Source	1	Undefined
ERR1897707	Mixed	root-Environmental-Aquatic-Freshwater-Lake	Possible pollution source	Source	1	Undefined
ERR1896692	Mixed	root-Environmental-Aquatic-Freshwater-Lake	Possible pollution source	Source	1	Undefined
SRR5983349	Mixed	root-Host-associated-Human-Digestive_system-Intestine	Possible pollution source	Source	1	Undefined
ERR2784834	Mixed	root-Host-associated-Human-Digestive_system-Intestine	Possible pollution source	Source	1	Undefined
ERR982976	Mixed	root-Engineered-Wastewater-Water_and_sludge	Possible pollution source	Source	1	Undefined
ERR2592276	Mixed	root-Engineered-Wastewater-Water_and_sludge	Possible pollution source	Source	1	Undefined
SRR2849385	Mixed	root-Environmental-Terrestrial-Soil-Agricultural	Possible pollution source	Source	1	Undefined
ERR1594134	Mixed	root-Environmental-Terrestrial-Soil-Agricultural	Possible pollution source	Source	1	Undefined
SRR7453230	Mixed	root-Host-associated-Human-Respiratory_system-Nasopharyngeal	Possible pollution source	Source	1	Undefined
SRR7453294	Mixed	root-Host-associated-Human-Respiratory_system-Nasopharyngeal	Possible pollution source	Source	1	Undefined
ERR2985277	Mixed	root-Engineered-Wastewater	Possible pollution source	Source	1	Undefined
ERR2985269	Mixed	root-Engineered-Wastewater	Possible pollution source	Source	1	Undefined
ERR1297869	Mixed	root-Host-associated-Plants	Possible pollution source	Source	1	Undefined
ERR1428383	Mixed	root-Host-associated-Plants	Possible pollution source	Source	1	Undefined
SRR656651	Mixed	root-Environmental-Terrestrial-Soil-Grasslands	Possible pollution source	Source	1	Undefined
SRR575258	Mixed	root-Environmental-Terrestrial-Soil-Grasslands	Possible pollution source	Source	1	Undefined
DRR043965	Mixed	root-Host-associated-Human-Digestive_system-Oral-Saliva	Possible pollution source	Source	1	Undefined
SRR6367296	Mixed	root-Host-associated-Human-Digestive_system-Oral-Saliva	Possible pollution source	Source	1	Undefined
SRR597733	Mixed	root-Environmental-Terrestrial-Soil-Forest_soil	Possible pollution source	Source	1	Undefined
SRR3923237	Mixed	root-Environmental-Terrestrial-Soil-Forest_soil	Possible pollution source	Source	1	Undefined
SRR7771379	Mixed	root-Environmental-Aquatic-Marine-Wetlands-Sediment	Possible pollution source	Source	1	Undefined
SRR7771365	Mixed	root-Environmental-Aquatic-Marine-Wetlands-Sediment	Possible pollution source	Source	1	Undefined
ERR1844396	Mixed	root-Environmental-Terrestrial-Soil-Tropical_rainforest	Possible pollution source	Source	1	Undefined
ERR1844422	Mixed	root-Environmental-Terrestrial-Soil-Tropical_rainforest	Possible pollution source	Source	1	Undefined
SRR632515	Mixed	root-Environmental-Aquatic-Marine-Intertidal_zone-Salt_marsh	Possible pollution source	Source	1	Undefined
SRR5590691	Mixed	root-Environmental-Aquatic-Marine-Intertidal_zone-Salt_marsh	Possible pollution source	Source	1	Undefined
SRR769727	Mixed	root-Environmental-Aquatic-Non-marine_Saline_and_Alkaline-Alkaline-Sediment	Possible pollution source	Source	1	Undefined
SRR769645	Mixed	root-Environmental-Aquatic-Non-marine_Saline_and_Alkaline-Alkaline-Sediment	Possible pollution source	Source	1	Undefined
ERR1954409	Mixed	root-Environmental-Aquatic-Marine-Oceanic	Possible pollution source	Source	1	Undefined
SRR5568725	Mixed	root-Environmental-Aquatic-Marine-Oceanic	Possible pollution source	Source	1	Undefined
ERR441790	Mixed	root-Host-associated-Human-Digestive_system-Oral-tongue_dorsum	Possible pollution source	Source	1	Undefined
ERR441828	Mixed	root-Host-associated-Human-Digestive_system-Oral-tongue_dorsum	Possible pollution source	Source	1	Undefined
SRR1221299	Mixed	root-Environmental-Terrestrial-Soil-Wetlands	Possible pollution source	Source	1	Undefined
SRR1221294	Mixed	root-Environmental-Terrestrial-Soil-Wetlands	Possible pollution source	Source	1	Undefined
